Season;Team;cum_mean_GF;cum_mean_GA;cum_mean_Shots;cum_mean_ShotsOT;cum_mean_Corners;cum_mean_Fouls;cum_mean_YC;cum_mean_RC;cum_mean_Points;cum_count_GF;cum_count_GA;cum_count_Shots;cum_count_ShotsOT;cum_count_Corners;cum_count_Fouls;cum_count_YC;cum_count_RC;cum_count_Points
Season 3;Leeds;1.3680397609959176;1.6093644157556155;12.131427516002061;3.927661835052268;5.195569212799572;12.36459517434667;2.0341153261937386;0.07441693413985215;1.0917339006069635;703;703;703;703;703;703;703;703;703
Season 3;Leicester;1.4634156479148295;1.9540754966200375;10.68710955034877;3.82943224607593;3.614036663052562;9.719599164103107;1.275128924898206;0.017369558708512034;0.7622359355512814;703;703;703;703;703;703;703;703;703
Season 3;Liverpool;1.9359033108083248;1.2398285128424449;16.181619783120414;5.645918239745364;6.394472135673392;8.951989778057795;1.0754058375614255;0.08425226904793857;1.473521280410506;703;703;703;703;703;703;703;703;703
Season 3;Man City;2.744414228757113;0.896095470425818;16.375460706768433;5.804853522099367;6.488348125585944;8.136902419819117;0.9462007591245266;0.028904619621341787;2.3085555713544816;703;703;703;703;703;703;703;703;703
Season 3;Man United;1.405077107046671;1.3961312285561072;13.772341722860514;4.98684482749452;4.277290228622948;11.07991348773729;2.5705496802759886;0.015890699123104847;1.7360651894570696;703;703;703;703;703;703;703;703;703
Season 3;Newcastle;1.6144764953169581;0.7357814467996419;14.36463578944077;5.234412449948385;6.937823005430254;10.235257269473152;1.5684528114348726;0.01344139404222082;1.7634390121787773;703;703;703;703;703;703;703;703;703
Season 3;Nott'm Forest;0.7156581792678258;1.8344592650965212;9.799372103366878;2.836043009112613;3.129356628560033;11.066098499449572;2.449757478635129;0.0;0.8482352616457642;703;703;703;703;703;703;703;703;703
Season 3;Southampton;0.9038072132934761;1.800383662121025;11.11870995511417;3.504461850361812;3.907722045754938;10.549522801589292;1.525110839007894;0.0;0.785053167527006;703;703;703;703;703;703;703;703;703
Season 3;Tottenham;1.9981752451510395;1.2952702026573246;13.892582252083121;5.6037049775072925;5.828842656760298;10.387452110673388;1.912426678036402;0.06419399433891468;1.8664574212083505;703;703;703;703;703;703;703;703;703
Season 3;West Ham;0.7622877588651616;1.2658742179821016;12.314006654281949;3.453030574175534;4.837437158941432;9.388095140544904;1.1156153100446973;0.0;0.845920391820664;703;703;703;703;703;703;703;703;703
Season 3;Wolves;0.6250697322009297;1.3135768358973587;11.463859569666363;3.2860331467778137;4.722951889930983;10.407421641531846;1.8679219848176185;0.1246781902039233;0.8319857795787821;703;703;703;703;703;703;703;703;703
Season 4;Arsenal;2.0865844125640343;0.8354489316664945;15.54764423918998;5.642487260263595;7.4747093227396;9.562664036994544;1.4204653418658042;0.11534987112542072;2.2538958687888115;703;703;703;703;703;703;703;703;703
Season 4;Aston Villa;2.1137384913170827;1.547413238810785;14.212580810586491;5.444355321841013;5.908444017607231;10.999758577954106;2.5752434893320157;0.029762807925322547;1.880462761266194;703;703;703;703;703;703;703;703;703
Season 4;Bournemouth;1.1698646327013666;1.852323221533603;12.70495662759385;4.5324198266910285;5.617046349505269;12.646451328825359;1.8191174781073476;0.05665117363435725;0.9811619012529131;703;703;703;703;703;703;703;703;703
Season 4;Brentford;1.4993206626277817;1.5252895601754222;13.102707267217275;4.523640949784792;4.607304192316653;10.261573673246703;2.0828208419574463;0.028822958301262393;1.0906432458620672;703;703;703;703;703;703;703;703;703
Season 4;Brighton;2.0912079428878494;1.6001373169055373;15.621446518149595;6.496201071428658;5.474748733857129;10.832918625257118;2.539899402792764;0.0701503281743018;1.654516067471186;703;703;703;703;703;703;703;703;703
Season 4;Burnley;0.8901030179616416;2.2527214533749746;10.092284171327785;3.0358627822526696;5.220027715653516;10.745133398379895;1.8200987743908597;0.2501925332273795;0.45042591165036644;703;703;703;703;703;703;703;703;703
Season 4;Chelsea;1.5665305542423846;1.4447248005703723;13.556397995494796;4.847260178695285;5.246801027173293;11.270441514399;2.9440963166414895;0.05649618529805068;1.279818479102069;703;703;703;703;703;703;703;703;703
